Pairwise_Similarity	Query	Target
1.0	2918	204
0.99	2918	885
0.94	2918	39
1.0	2918	191
0.98	2918	23934
1.0	2918	192
0.99	2918	6984
0.99	2918	8277
0.99	2918	4510
0.7	2918	8812
0.98	20512	10049
0.94	20512	7419
0.78	21267	2939
0.93	3074	469
0.96	3074	1996
0.84	3074	14097
0.89	3074	8410
0.89	3074	14
0.84	3074	13803
0.84	3074	23624
0.87	3074	2258
0.93	3074	3441
0.85	3074	2740
0.9	3074	3060
0.83	3074	16916
0.95	3074	177
0.93	3074	3350
0.94	3074	14827
0.96	3074	26
0.96	14774	5631
0.83	15615	1248
0.84	15615	16710
0.8	15615	16712
0.76	15615	1522
0.95	19389	19095
0.95	23007	11485
0.95	23007	23188
0.91	23007	8556
0.93	23007	11464
0.73	23007	9326
0.94	23007	17165
0.91	23007	23056
0.8	2827	2432
0.94	2827	18699
0.82	2827	18151
0.92	2827	16588
0.87	2827	16285
0.91	2827	1913
0.91	2827	2058
0.89	2827	1145
0.75	2827	682
0.91	2827	22574
0.76	2827	785
0.87	23352	6105
0.97	23352	748
0.84	23352	7412
0.88	23352	81
0.8	23352	724
0.99	23352	23353
0.96	23352	77
0.87	23352	8292
0.79	5744	3267
0.82	5744	2659
0.81	5744	23787
0.84	5744	2662
0.84	5744	23259
0.85	5744	1593
0.76	5744	2299
0.72	5744	112
0.81	5744	2666
0.72	5744	2038
0.7	5744	5115
0.73	5744	2271
0.73	5744	5745
0.84	5744	8437
0.88	5744	3279
0.73	5744	118
0.83	5744	4438
0.97	20857	4061
0.74	20857	3562
0.75	20857	12284
0.8	5691	3352
0.78	8897	17436
0.8	8897	19558
0.73	8897	19626
0.79	8897	4612
0.76	8897	9134
0.8	6952	6985
0.78	6952	10866
0.9	18203	10461
0.9	18203	17435
0.86	18203	11246
0.83	18203	13582
0.76	18203	19467
0.91	18203	10799
0.76	4578	4708
0.75	4578	9823
0.77	4578	2366
0.75	4578	7463
0.78	4578	6861
0.8	4578	4705
0.77	4578	9983
0.76	4578	2367
0.89	2077	3126
0.91	2077	3098
0.86	2077	3107
0.96	2077	2066
0.98	14100	14139
0.94	14100	14198
0.96	13964	5438
0.92	13964	22756
0.88	17091	15151
0.88	17091	15361
0.88	17091	15134
0.89	17091	15077
0.87	17091	15124
0.88	17091	15375
0.9	17091	17077
0.8	17091	18318
0.98	8093	7081
0.98	8093	6549
0.98	8093	10074
0.98	8093	3817
0.98	8093	6443
0.98	8093	13780
0.98	8093	22902
0.98	8093	9036
0.88	23544	10720
0.78	23544	19355
